FIPS,CountInsufficientSleep,CountOverweight,surveyanswers,Year,Lat,Long,statename
1,148,133,399,2016,32.318231,-86.902298,Alabama
2,84,87,351,2016,63.588753,-154.493062,Alaska
4,141,114,470,2016,34.048928,-111.093731,Arizona
5,125,131,392,2016,35.20105,-91.831833,Arkansas
6,154,121,475,2016,36.778261,-119.417932,California
8,156,128,562,2016,39.550051,-105.782067,Colorado
9,214,153,561,2016,41.603221,-73.087749,Connecticut
10,169,132,437,2016,38.910832,-75.52767,Delaware
11,141,88,336,2016,38.905985,-77.033418,District of Columbia
12,149,139,455,2016,27.664827,-81.515754,Florida
13,159,119,408,2016,32.157435,-82.907123,Georgia
15,221,113,513,2016,19.898682,-155.665857,Hawaii
16,147,128,524,2016,44.068202,-114.742041,Idaho
17,182,118,521,2016,40.633125,-89.398528,Illinois
18,188,142,464,2016,40.551217,-85.602364,Indiana
19,173,152,575,2016,41.878003,-93.097702,Iowa
20,133,117,475,2016,39.011902,-98.484246,Kansas
21,156,151,448,2016,37.839333,-84.270018,Kentucky
22,136,109,349,2016,31.244823,-92.145024,Louisiana
23,123,129,483,2016,45.253783,-69.445469,Maine
24,190,158,562,2016,39.045755,-76.641271,Maryland
25,202,135,622,2016,42.407211,-71.382437,Massachusetts
26,170,164,558,2016,44.314844,-85.602364,Michigan
27,162,176,660,2016,46.729553,-94.6859,Minnesota
28,163,111,311,2016,32.354668,-89.398528,Mississippi
29,178,139,478,2016,37.964253,-91.831833,Missouri
30,134,111,481,2016,46.879682,-110.362566,Montana
31,149,129,487,2016,41.492537,-99.901813,Nebraska
32,121,101,386,2016,38.80261,-116.419389,Nevada
33,150,130,540,2016,43.193852,-71.572395,New Hampshire
34,226,164,579,2016,40.058324,-74.405661,New Jersey
35,133,97,387,2016,34.97273,-105.032363,New Mexico
36,181,129,444,2016,43.299428,-74.217933,New York
37,164,119,446,2016,35.759573,-79.0193,North Carolina
38,136,156,477,2016,47.551493,-101.002012,North Dakota
39,174,150,511,2016,40.417287,-82.907123,Ohio
40,142,114,359,2016,35.007752,-97.092877,Oklahoma
41,142,111,542,2016,43.804133,-120.554201,Oregon
42,197,164,560,2016,41.203322,-77.194525,Pennsylvania
44,169,129,444,2016,41.580095,-71.477429,Rhode Island
45,156,117,440,2016,33.836081,-81.163725,South Carolina
46,148,144,529,2016,43.969515,-99.901813,South Dakota
47,156,147,426,2016,35.517491,-86.580447,Tennessee
48,130,110,390,2016,31.968599,-99.901813,Texas
49,165,97,498,2016,39.32098,-111.093731,Utah
50,121,133,573,2016,44.558803,-72.577841,Vermont
51,202,127,543,2016,37.431573,-78.656894,Virginia
53,166,121,544,2016,47.751074,-120.740139,Washington
54,157,129,387,2016,38.597626,-80.454903,West Virginia
55,180,157,639,2016,43.78444,-88.787868,Wisconsin
56,117,102,404,2016,43.075968,-107.290284,Wyoming
1,96,74,217,2017,32.318231,-86.902298,Alabama
2,54,56,186,2017,63.588753,-154.493062,Alaska
4,82,55,211,2017,34.048928,-111.093731,Arizona
5,74,52,172,2017,35.20105,-91.831833,Arkansas
6,73,57,224,2017,36.778261,-119.417932,California
8,61,44,208,2017,39.550051,-105.782067,Colorado
9,87,45,254,2017,41.603221,-73.087749,Connecticut
10,85,61,214,2017,38.910832,-75.52767,Delaware
11,61,37,157,2017,38.905985,-77.033418,District of Columbia
